ACTO,CONVOCATORIA,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,368,CFA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,376,CFA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,381,CFA,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,391,CFA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,412,CHA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,422,CIA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,439,CJA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,456,CJA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,461,CKA,Departamental,969,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,461,CKA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,463,CKA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,464,CKA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,489,CLB,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,497,CLC,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,498,CLC,Departamental,1326,3
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,510,CMA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,513,CMA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,523,CMA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,527,CMA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,536,CMA,Departamental,11917,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,538,CMA,Departamental,11917,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,540,CMA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,547,CMA,Departamental,11917,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,551,CMA,Departamental,11917,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,597,CMC,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,598,CMC,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,603,CMC,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,617,CMC,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,620,CMD,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,621,CMD,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,627,CMD,Departamental,969,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,630,CMD,Departamental,969,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,633,CMD,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,634,CMD,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,646,CMD,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,651,CME,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,654,CME,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,657,CME,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,664,CME,Departamental,11917,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,665,CME,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,673,CME,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,675,CME,Departamental,11917,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,678,CME,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,713,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,715,CMF,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,716,CMF,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,717,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,720,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,722,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,723,CMF,Departamental,1326,3
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,726,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,731,CMF,Departamental,1326,4
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,732,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,738,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,739,CMF,Departamental,1326,3
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,739,CMF,Departamental,9600,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,741,CMF,Departamental,969,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,741,CMF,Departamental,1326,1
