ACTO,CONVOCATORIA,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS
2024-06-30,Asamblea_Popular_-_O.D.D.,Treinta y Tres,6,FAA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Treinta y Tres,7,FAA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Treinta y Tres,10,FAA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Treinta y Tres,16,FAA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Treinta y Tres,22,FAA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Treinta y Tres,30,FAA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Treinta y Tres,122,FEF,Departamental,1326,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,1,FAA,Departamental,56,5
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,2,FAA,Departamental,56,3
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,3,FAA,Departamental,56,2
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,4,FAA,Departamental,56,2
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,5,FAA,Departamental,12,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,5,FAA,Departamental,56,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,6,FAA,Departamental,56,2
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,7,FAA,Departamental,12,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,8,FAA,Departamental,12,2
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,8,FAA,Departamental,56,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,9,FAA,Departamental,12,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,9,FAA,Departamental,488,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,10,FAA,Departamental,56,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,11,FAA,Departamental,12,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,12,FAA,Departamental,12,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,13,FAA,Departamental,56,3
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,14,FAA,Departamental,12,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,15,FAA,Departamental,12,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,15,FAA,Departamental,56,4
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,16,FAA,Departamental,12,2
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,16,FAA,Departamental,56,2
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,17,FAA,Departamental,56,3
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,18,FAA,Departamental,56,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,19,FAA,Departamental,56,4
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,20,FAA,Departamental,56,3
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,22,FAA,Departamental,56,2
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,24,FAA,Departamental,56,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,25,FAA,Departamental,56,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,26,FAA,Departamental,56,2
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,28,FAA,Departamental,56,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,28,FAA,Departamental,488,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,29,FAA,Departamental,56,3
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,29,FAA,Departamental,488,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,31,FAA,Departamental,12,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,31,FAA,Departamental,56,3
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,32,FAA,Departamental,56,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,34,FAA,Departamental,56,2
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,35,FAA,Departamental,12,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,35,FAA,Departamental,56,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,36,FAA,Departamental,12,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,36,FAA,Departamental,56,3
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,37,FAA,Departamental,56,1
2024-06-30,Cabildo_Abierto_O.D.D.,Treinta y Tres,38,FAA,Departamental,12,1
